DATE,DPCREDIT
9/7/2018,2.5
9/10/2018,2.5
9/11/2018,2.5
9/12/2018,2.5
9/13/2018,2.5
9/14/2018,2.5
9/17/2018,2.5
9/18/2018,2.5
9/19/2018,2.5
9/20/2018,2.5
9/21/2018,2.5
9/24/2018,2.5
9/25/2018,2.5
9/26/2018,2.5
9/27/2018,2.75
9/28/2018,2.75
10/1/2018,2.75
10/2/2018,2.75
10/3/2018,2.75
10/4/2018,2.75
10/5/2018,2.75
10/8/2018,2.75
10/9/2018,2.75
10/10/2018,2.75
10/11/2018,2.75
10/12/2018,2.75
10/15/2018,2.75
10/16/2018,2.75
10/17/2018,2.75
10/18/2018,2.75
10/19/2018,2.75
10/22/2018,2.75
10/23/2018,2.75
10/24/2018,2.75
10/25/2018,2.75
10/26/2018,2.75
10/29/2018,2.75
10/30/2018,2.75
10/31/2018,2.75
11/1/2018,2.75
11/2/2018,2.75
11/5/2018,2.75
11/6/2018,2.75
11/7/2018,2.75
11/8/2018,2.75
11/9/2018,2.75
11/12/2018,2.75
11/13/2018,2.75
11/14/2018,2.75
11/15/2018,2.75
11/16/2018,2.75
11/19/2018,2.75
11/20/2018,2.75
11/21/2018,2.75
11/22/2018,2.75
11/23/2018,2.75
11/26/2018,2.75
11/27/2018,2.75
11/28/2018,2.75
11/29/2018,2.75
11/30/2018,2.75
12/3/2018,2.75
12/4/2018,2.75
12/5/2018,2.75
12/6/2018,2.75
12/7/2018,2.75
12/10/2018,2.75
12/11/2018,2.75
12/12/2018,2.75
12/13/2018,2.75
12/14/2018,2.75
12/17/2018,2.75
12/18/2018,2.75
12/19/2018,2.75
12/20/2018,3
12/21/2018,3
12/24/2018,3
12/25/2018,3
12/26/2018,3
12/27/2018,3
12/28/2018,3
12/31/2018,3
1/1/2019,3
1/2/2019,3
1/3/2019,3
1/4/2019,3
1/7/2019,3
1/8/2019,3
1/9/2019,3
1/10/2019,3
1/11/2019,3
1/14/2019,3
1/15/2019,3
1/16/2019,3
1/17/2019,3
1/18/2019,3
1/21/2019,3
1/22/2019,3
1/23/2019,3
1/24/2019,3
1/25/2019,3
1/28/2019,3
1/29/2019,3
1/30/2019,3
1/31/2019,3
2/1/2019,3
2/4/2019,3
2/5/2019,3
2/6/2019,3
2/7/2019,3
2/8/2019,3
2/11/2019,3
2/12/2019,3
2/13/2019,3
2/14/2019,3
2/15/2019,3
2/18/2019,3
2/19/2019,3
2/20/2019,3
2/21/2019,3
2/22/2019,3
2/25/2019,3
2/26/2019,3
2/27/2019,3
2/28/2019,3
3/1/2019,3
3/4/2019,3
3/5/2019,3
3/6/2019,3
3/7/2019,3
3/8/2019,3
3/11/2019,3
3/12/2019,3
